time,mean,std,cv,ci_lower,ci_upper
8.700000000000001,0.0003823345701773962,1.8080691844766978e-05,0.047290235451055,0.0003807660205451891,0.0003839973176258711
8.8,0.0003890174780244107,1.8461259178274486e-05,0.047456117581215845,0.00038739275667047266,0.00039069418523636566
8.9,0.00039573283852850904,1.860479651794549e-05,0.0470135270732787,0.0003940666126124022,0.0003974187150799371
9.0,0.00040241633655437855,1.900643097341168e-05,0.04723076388039067,0.00040069983594948164,0.0004041387642606221
9.1,0.0004089575623347091,1.933172007659219e-05,0.04727072404830662,0.00040725975735659707,0.00041071750106547937
9.200000000000001,0.00041538483049657644,1.954270779644623e-05,0.04704723514598182,0.0004136802571191807,0.0004171713281825044
9.3,0.000421903366632198,1.9745261646263772e-05,0.046800436327110576,0.0004200426520694309,0.00042371092713380104
9.4,0.0004283244941001425,2.0104378832660645e-05,0.0469372616079253,0.00042649805883427456,0.00043019792929792003
9.5,0.00043473466579177137,2.027012355909306e-05,0.046626425620270216,0.0004329269508040013,0.0004366243742845892
9.600000000000001,0.0004409252987675305,2.052424809656478e-05,0.046548129930248795,0.00043912447645659823,0.0004428479376293313
9.700000000000001,0.0004471350942088864,2.0792426057016443e-05,0.04650144067489125,0.000445235824523455,0.0004491228032109146
9.8,0.0004531638823877953,2.093562306519593e-05,0.04619879005997273,0.0004512479344211671,0.0004551301009949146
9.9,0.0004591548952369757,2.0923620070347928e-05,0.04556985080067366,0.00045726016468399905,0.00046108282727215765
10.0,0.00046551027327304155,2.1358365027645166e-05,0.045881619061750714,0.000463618871327518,0.00046753133050591835
10.100000000000001,0.00046981400377072374,2.1424429589659063e-05,0.045601939102935946,0.0004679488586471034,0.0004717968279084736
10.200000000000001,0.0004741920561194403,2.142215846513946e-05,0.04517612260409443,0.00047230995488432723,0.00047616034617557073
10.3,0.0004783916160418584,2.1500388256170013e-05,0.04494307077130877,0.00047647766201512815,0.00048033269542367734
10.4,0.0004825032780373206,2.1455770000676122e-05,0.044467614993108015,0.0004805773543225779,0.00048442803197286215
10.5,0.0004867120979179888,2.1382887685989808e-05,0.04393333919058004,0.0004848046705250447,0.0004886353657813285
10.600000000000001,0.0004907639864671688,2.130646958786277e-05,0.043414900390797394,0.000488851481142588,0.000492696240573317
10.700000000000001,0.0004947994289945495,2.136398256618011e-05,0.043177055821573,0.0004928819865659446,0.0004967406455575412
10.8,0.0004986928147207656,2.141029776010503e-05,0.04293283786752243,0.0004967666350786858,0.000500608548231941
10.9,0.0005026037426272291,2.15332906969833e-05,0.042843474631572925,0.0005006393840322058,0.0005045495848084406
11.0,0.0005065730535008857,2.1478515049739562e-05,0.04239963989656235,0.0005045439251415683,0.000508533505223792
